,Record Year,Job Industry,Job Title,Experience Level,Education Level,Gender,Annual Salary,Monetary Compensation,Total Annual Salary,Age Group,Occupation Country,Occupation City,Race
1578,2021,Education (Higher Education),Associate Professor,Experienced Level,PhD,Female,USD 70000,USD 2000,USD 72000,Junior,United States,Orlando,White
1580,2021,Health care,"Manager, Quality & Operations Improvement",Senior Level,Master's degree,Female,USD 106000,USD 22000,USD 128000,Junior,United States,Philadelphia,White
1582,2021,Libraries and Archives (Academic),Processing Archivist,Senior Level,Master's degree,Female,USD 53000,USD 1500,USD 54500,Mid Life,United States,Richmond,White
1583,2021,Computing or Tech,Product Manager,Legendary Level,College degree,Female,USD 145000,USD 10150,USD 155150,Mid Life,United States,NYC,White
1585,2021,Archaeology,Senior Project Archaeologist,Senior Level,Master's degree,Female,USD 55000,USD 1500,USD 56500,Junior,Australia,Western Slope,White
1586,2021,Media & Digital,Managing Editor,Legendary Level,College degree,Female,USD 35500,USD 2000,USD 37500,Mid Life,United States,Niles,White
1587,2021,Engineering or Manufacturing,Marketing Services Manager,Expert Level,Master's degree,Female,USD 97000,USD 14000,USD 111000,Experienced,United States,Easton,White
1588,2021,Health care,Medical scribe ,Legendary Level,College degree,Female,USD 31000,USD 0,USD 31000,Young,United States,Worcester,White
1589,2021,Computing or Tech,Risk Operations Analyst,Experienced Level,Master's degree,Female,USD 73000,USD 7000,USD 80000,Mid Life,United States,Seattle,White
1590,2021,"Marketing, Advertising & PR",Senior SEO Strategist,Experienced Level,College degree,Male,USD 70000,USD 3000,USD 73000,Mid Life,United States,New York City,White
1591,2021,Business or Consulting,Director / Senior Manager (Customer Strategy),Senior Level,Master's degree,Female,USD 214000,USD 15000,USD 229000,Mid Life,United States,"Primary WFH or NYC; however travel to client site weekly in the ""before times""",White
1592,2021,Scientific Research,Post Doctorate Researcher,Experienced Level,PhD,Female,USD 76000,USD 0,USD 76000,Mid Life,United States,Richland,White
1593,2021,"Accounting, Banking & Finance",Administrative assistant/ client service specialist ,Senior Level,College degree,Female,USD 52000,USD 0,USD 52000,Junior,United States,Philadelphia ,White
1594,2021,Computing or Tech,Senior IT Software Developer,Veteran Level,College degree,Female,USD 112000,USD 10000,USD 122000,Experienced,United States,Cary,White
1595,2021,Education (Higher Education),Careers Consultant,Senior Level,PhD,Female,GBP 39000,GBP 0,GBP 39000,Junior,United Kingdom,Leeds,White
1596,2021,Health care,Business Intelligence Analyst,Expert Level,Some college,Male,USD 100300,USD 5000,USD 105300,Experienced,United States,Omaha,White
1598,2021,Insurance,Technical Support Executive,Veteran Level,Some college,Female,GBP 39140,GBP 2000,GBP 41140,Junior,United Kingdom,Caterham,Multiracial
1599,2021,Sales,Western Sales Manager,Senior Level,College degree,Female,CAD 73500,CAD 8000,CAD 81500,Junior,Canada,Vancouver,White
1600,2021,Business or Consulting,Senior Manager,Senior Level,Master's degree,Female,USD 172000,USD 50000,USD 222000,Junior,United States,DC,Multiracial
1601,2021,Health care,Executive Assistant,Experienced Level,College degree,Female,USD 45000,USD 1500,USD 46500,Mid Life,United States,Northern Michigan,White
1602,2021,Law,Certified Paralegal,Experienced Level,College degree,Female,USD 34840,USD 1000,USD 35840,Mid Life,United States,Paducah,White
1603,2021,"Marketing, Advertising & PR",Technical Writer,Junior Level,College degree,Non Binary,USD 77250,USD 0,USD 77250,Mid Life,United States,Chanhassen,White
1605,2021,Government and Public Administration,data coordinator,Senior Level,Master's degree,Female,USD 105000,USD 800,USD 105800,Experienced,United States,Silver Spring,White
1606,2021,Education (Higher Education),Executive Assistant to the AVPs,Senior Level,College degree,Female,USD 52000,USD 0,USD 52000,Mid Life,United States,La Mirada,White
1607,2021,Agriculture or Forestry,Chief Data Scientist,Experienced Level,PhD,Female,USD 130,USD 0,USD 130,Mid Life,United States,Santa Fe,White
1609,2021,Insurance,Underwriter ,Experienced Level,College degree,Female,CAD 55000,CAD 7000,CAD 62000,Junior,Canada,Sault Ste Marie,White
1610,2021,Property or Construction,Facility Manager I,Senior Level,Master's degree,Male,USD 58000,USD 500,USD 58500,Mid Life,United States,Indianapolis,White
1613,2021,Media & Digital,Editorial Director,Senior Level,Master's degree,Female,USD 110000,USD 11000,USD 121000,Junior,United States,New York,White
1614,2021,Law,Patent Agent,Junior Level,PhD,Other,USD 142000,USD 21800,USD 163800,Mid Life,United States,Boston,Other or Prefer not to answer
1615,2021,Computing or Tech,Test Analyst,Senior Level,Master's degree,Female,GBP 38000,GBP 0,GBP 38000,Junior,United Kingdom,Hull,White
1616,2021,Recruitment or HR,Learning and Development Specialist,Veteran Level,Master's degree,Female,USD 82000,USD 2000,USD 84000,Experienced,United States,Portland,White
1617,2021,Nonprofits,Operations Manager,Legendary Level,College degree,Female,USD 57000,USD 1500,USD 58500,Mid Life,United States,Dallas,White
1618,2021,Law,legal assistant,Senior Level,Master's degree,Female,USD 60000,USD 1000,USD 61000,Junior,United States,Ft. Mitchell,White
1619,2021,Education (Higher Education),Associate Professor,Experienced Level,Master's degree,Female,USD 61500,USD 0,USD 61500,Junior,United States,Pittsburgh,White
1620,2021,Municipal Government (Library),Youth Services Librarian,Legendary Level,Master's degree,Female,USD 54953,USD 0,USD 54953,Mid Life,United States,Ringwood,White
1621,2021,Law,Legal Assistant/Paralegal,Experienced Level,College degree,Female,USD 70000,USD 1500,USD 71500,Junior,United States,Detroit,White
1624,2021,Computing or Tech,Solution Architect,Experienced Level,College degree,Female,CAD 118000,CAD 11000,CAD 129000,Mid Life,Canada,Toronto,White
1625,2021,Education (Higher Education),Administrative Support Specialist,Veteran Level,Master's degree,Female,USD 46145,USD 700,USD 46845,Junior,United States,Raleigh,White
1626,2021,Computing or Tech,Customer Support Rep,Veteran Level,Master's degree,Female,USD 65000,USD 20000,USD 85000,Experienced,United States,Chicago but the company is remote,White
1627,2021,Computing or Tech,Software Developer,Legendary Level,College degree,Female,USD 120000,USD 1000,USD 121000,Mid Life,United States,Madison,White
1628,2021,Education (Higher Education),Academic Evaluations Specialist,Legendary Level,Master's degree,Male,USD 62000,USD 0,USD 62000,Mid Life,United States,Riverside,Multiracial
1630,2021,"Marketing, Advertising & PR",Senior Marketing Associate,Senior Level,College degree,Female,USD 50000,USD 3700,USD 53700,Mid Life,Australia,Columbia,White
1631,2021,Public Policy,Research Analyst,Junior Level,College degree,Female,USD 50160,USD 0,USD 50160,Mid Life,United States,Washington,White
1632,2021,Education (Higher Education),Librarian,Legendary Level,Master's degree,Female,USD 64500,USD 0,USD 64500,Mid Life,United States,Orlando metro area,White
1633,2021,"Accounting, Banking & Finance",Director Internal Comms & Change Management,Senior Level,Master's degree,Female,USD 146000,USD 5000,USD 151000,Junior,Australia,Chicago,White
1635,2021,Health care,Quality Management Consultant ,Senior Level,Master's degree,Female,USD 62000,USD 3000,USD 65000,Mid Life,Australia,Phoenix,White
1637,2021,Research,Senior scientist,Senior Level,College degree,Female,USD 71000,USD 2000,USD 73000,Experienced,United States,Frederick,White
1638,2021,Education (Primary/Secondary),Math Teacher,Senior Level,Master's degree,Female,USD 61000,USD 1000,USD 62000,Junior,United States,Denver,White
1640,2021,"Accounting, Banking & Finance",Trust Servicing Analyst,Veteran Level,Master's degree,Female,USD 51350,USD 1500,USD 52850,Junior,United States,Richmond,White
1641,2021,Library/archives,College assistant archivist,Experienced Level,Master's degree,Female,USD 31000,USD 0,USD 31000,Mid Life,United States,New York City,White
1642,2021,Business or Consulting,Research Analyst,Experienced Level,PhD,Female,USD 63000,USD 2500,USD 65500,Junior,United States,Herndon,White
1644,2021,Health care,Senior Clinical Nurse II,Experienced Level,College degree,Female,USD 81000,USD 0,USD 81000,Mid Life,United States,Baltimore,White
1645,2021,Sales,Regional sales director,Expert Level,College degree,Female,USD 105000,USD 40000,USD 145000,Senior,United States,Oakland ,White
1647,2021,Education (Higher Education),Associate librarian,Senior Level,Master's degree,Female,USD 64105,USD 0,USD 64105,Junior,United States,This info will make me identifiable ,White
1648,2021,Sales,Sales Administrative Assistant,Experienced Level,College degree,Female,USD 51500,USD 0,USD 51500,Mid Life,United States,Dallas,White
1649,2021,Government and Public Administration,Public-health Program Coordinator,Senior Level,Master's degree,Non Binary,USD 87000,USD 0,USD 87000,Junior,United States,Boston,Multiracial
1650,2021,Government- Scientist,Forensic Scientist,Senior Level,Master's degree,Female,USD 100000,USD 6000,USD 106000,Junior,United States,Seattle,White
1652,2021,"Marketing, Advertising & PR",Marketing Manager,Senior Level,College degree,Female,USD 56000,USD 1000,USD 57000,Junior,United States,Lincoln,White
1653,2021,Property or Construction,Purchasing Agent,Legendary Level,College degree,Female,USD 37440,USD 500,USD 37940,Mid Life,Australia,Jacksonville,White
1654,2021,Government and Public Administration,analyst,Senior Level,College degree,Female,USD 135200,USD 2000,USD 137200,Mid Life,United States,Arlington,White
1656,2021,Engineering or Manufacturing,Plant Controller,Veteran Level,Master's degree,Female,USD 115000,USD 25000,USD 140000,Junior,United States,Manchester,White
1658,2021,Technical/Cybersecurity,Product Manager,Veteran Level,Master's degree,Female,USD 190000,USD 28000,USD 218000,Experienced,United States,Hopkinton,White
1659,2021,Business or Consulting,Senior Associate,Experienced Level,Master's degree,Female,USD 168000,USD 27000,USD 195000,Mid Life,United States,Boston,White
1660,2021,Health care,Patient Access Representative II,Experienced Level,College degree,Female,USD 38000,USD 3000,USD 41000,Junior,Australia,Dallas,White
1661,2021,Education (Primary/Secondary),Teacher ,Senior Level,Master's degree,Female,USD 70000,USD 0,USD 70000,Junior,Australia,Louisville ,White
1662,2021,Education (Higher Education),Reference Librarian,Experienced Level,Master's degree,Female,USD 50000,USD 0,USD 50000,Mid Life,United States,Can't share,White
1664,2021,Museums,Curator,Senior Level,Master's degree,Female,USD 75544,USD 1500,USD 77044,Experienced,United States,Tacoma,White
1665,2021,"Accounting, Banking & Finance",Senior Analyst,Junior Level,College degree,Female,USD 71000,USD 7000,USD 78000,Young,United States,Philadelphia,White
1666,2021,Education (Higher Education),Professor,Senior Level,PhD,Male,USD 450000,USD 100000,USD 550000,Junior,United States,Major Metro Area,White
1667,2021,Law,Supervisory Paralegal Specialist,Legendary Level,College degree,Female,USD 72000,USD 0,USD 72000,Mid Life,United States,Washington ,White
1668,2021,"Accounting, Banking & Finance",Trainer,Senior Level,High School,Female,USD 50000,USD 2000,USD 52000,Junior,United States,Jacksonville,Multiracial
1669,2021,Education (Higher Education),Sustainability Coordinator ,Junior Level,College degree,Female,USD 35000,USD 0,USD 35000,Young,Australia,Missoula,White
1670,2021,Education (Primary/Secondary),Music Teacher (PreK-8),Legendary Level,College degree,Female,USD 47612,USD 1000,USD 48612,Mid Life,United States,Charlottesville,White
1671,2021,Education (Higher Education),Project Coordinator,Legendary Level,Master's degree,Female,USD 62000,USD 0,USD 62000,Mid Life,Australia,New Bruswick,White
1672,2021,"Accounting, Banking & Finance",Senior Accountant,Legendary Level,Master's degree,Female,USD 59500,USD 0,USD 59500,Mid Life,United States,Clifton Park,White
1673,2021,Computing or Tech,Senior System Engineer,Veteran Level,College degree,Male,USD 62000,USD 4500,USD 66500,Experienced,United States,Twin Cities Metro Area,White
1674,2021,Computing or Tech,Senior UI developer ,Veteran Level,College degree,Female,GBP 65790,GBP 600,GBP 66390,Junior,United Kingdom,London,White
1675,2021,Computing or Tech,Compliance Officer,Senior Level,College degree,Female,USD 63000,USD 5000,USD 68000,Junior,United States,Canton,White
1677,2021,Computing or Tech,product support,Legendary Level,Some college,Female,USD 68300,USD 5000,USD 73300,Retired,Australia,Chicago,White
1678,2021,Health care,Data Analyst,Senior Level,Master's degree,Female,USD 92000,USD 0,USD 92000,Experienced,United States,Southfield,White
1679,2021,Education (Higher Education),Professor,Experienced Level,Master's degree,Male,USD 60000,USD 0,USD 60000,Mid Life,Australia,Bremerton,White
1680,2021,Business or Consulting,Senior Researcher,Senior Level,Master's degree,Female,USD 140000,USD 15000,USD 155000,Junior,United States,Seattle,White
1681,2021,Media & Digital,Data quality manager,Senior Level,College degree,Female,USD 96000,USD 20000,USD 116000,Junior,United States,Philadelphia,White
1684,2021,Health care,Audiologist,Veteran Level,PhD,Female,USD 113000,USD 0,USD 113000,Experienced,United States,Chicago,White
1686,2021,Business or Consulting,Merchandise and Supply planner,Senior Level,College degree,Female,USD 65500,USD 0,USD 65500,Junior,United States,Chicago,White
1687,2021,"Accounting, Banking & Finance",CERTIFIED PUBLIC ACCOUNTANT,Senior Level,Master's degree,Female,USD 105000,USD 10000,USD 115000,Junior,United States,ROCHESTER,White
1688,2021,Computing or Tech,Senior Software Engineer,Veteran Level,Master's degree,Male,USD 138000,USD 0,USD 138000,Experienced,United States,"Cambridge, MA",White
1689,2021,Education (Higher Education),Assistant professor,Legendary Level,PhD,Female,USD 69000,USD 0,USD 69000,Junior,United States,Grand Rapids,White
1690,2021,Computing or Tech,Project Manager,Senior Level,College degree,Male,USD 117500,USD 22000,USD 139500,Junior,United States,Austin,White
1691,2021,Pharmaceutical research,Science writer (communications),Senior Level,Master's degree,Female,USD 90000,USD 5000,USD 95000,Junior,United States,Boston,White
1692,2021,Computing or Tech,Senior Software Engineer,Experienced Level,Master's degree,Female,USD 121184,USD 10000,USD 131184,Mid Life,United States,Austin,White
1694,2021,Computing or Tech,Senior marketing strategist and writer ,Veteran Level,College degree,Female,USD 147000,USD 20000,USD 167000,Senior,United States,Santa Clara,White
1695,2021,Education (Higher Education),Operations Finance Manager,Senior Level,Master's degree,Female,CAD 84578,CAD 0,CAD 84578,Junior,Canada,Ontario,White
1696,2021,"Accounting, Banking & Finance",System Analyst,Senior Level,Some college,Male,USD 75000,USD 5000,USD 80000,Mid Life,United States,Madison,White
1697,2021,Computing or Tech,Technical Lead,Senior Level,College degree,Female,USD 115000,USD 0,USD 115000,Junior,United States,Ann Arbor,White
